TaskID,DealName,DateFrom,DateTo,IsActive,AllowCoupons,SingleUse,CouponCodes,CustomerGroup,CustomerName,CustomerTagName,DiscountName,EntireOrder,BrandName,CategoryName,CommaDelimitedTags,ProductSKU,BuyX,BuyOrMore,BuyXValue,BuyAmount,GetX,GetXValue,GetAmount
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Jar 96 (COC01450)","False","","","","COC01450","","False","","","","","",""
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Case 12 Salon Pro Glue","False","","","","SPR58409","","False","","","","","",""
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Case 48 Salon Pro Glue","False","","","","SPR07302","","False","","","","","",""
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Case 72 Salon Pro Glue","False","","","","SPR58416","","False","","","","","",""
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Case 24 Salon Pro Glue","False","","","","SPR07303,SPR07306,SPR58415","","False","","","","","",""
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Jar 100 (BS502)","False","","","","BS502","","False","","","","","",""
"6fc0adab-7e24-42e9-be88-095786f8ef28","Case Discount",,20260316,"False","False","False","","All customers","","","Discount: Case 144 Salon Pro Glue","False","","","","SPR07301","","False","","","","","",""
"5d93a521-1723-4b77-88b9-f56ffe4a48c2","Extra 10% on Order Level - Google Review Promo",20260301,,"True","True","False","EXTRA10","Selected","AAlpha Products,Adom Convenient Store Inc.,BAMBOO GLOBAL TRADING,CLEARBUY E-COMMERCE LTD,Curl Warehouse,Elamen hair LTD,EVEC PLAISIR BEAUTY SUPPLIES,Fine Beauty,Gaddo and Companies Inc.,Imani Studio,IncluSV Beauty Solutions,JeRah Beauty Salon & Spa,JP Beauty Supply,Leone's Beauty Inc.,Mandy's Beauty Supplies (Beauty Supply Superstore),Mida Beauté,MK Beauty Hair Salon&Beauty Supply inc.,ROCKLAND BEAUTY SUPPLY INC,ROSA DI VERONA CORP.,Shoppers And Beyond,Tees Beauty Supply,The Wright Hair Oils,TruPort Sales Inc","","Discount 10%","True","","","","","Order total","True","","1.00","Order total","","1.00",""
"9d7ee6fd-e8f5-4ce5-a357-01f1cc15ed2a","Extra 5% on Order Level - Google Review Promo",20260301,,"True","True","False","EXTRA5","Selected","9394-8016 QUEBEC INC - Hera Beauty (HQ),Beauty Collection Brampton Inc.,Beauty Collection Inc.,Beauty Collection Markham Inc.,Regina Beauty Inc.-DT,Rex Beauty Inc.-Ajax,Rex Beauty Inc.-HMB,Rex Beauty Inc.-Morningside,Rex Beauty Inc.-Sheridan Mall,Rex Beauty Inc.-Warehouse","","Discount 5%","True","","","","","Order total","True","","1.00","Order total","","1.00",""
"b8d1b28d-7c53-458f-9b48-59a5df759876","Hera Beauty (GPR-12, RON-21)",,,"True","False","False","","Selected","2254644 ALBERTA INC - Hera Beauty (CAL01),2521069 ALBERTA INC - Hera Beauty (EDM01),2689295 ONTARIO INC - Hera Beauty (OTT03),2689565 ONTARIO INC - Hera Beauty (OTT02),9394-8016 QUEBEC INC - Hera Beauty (HQ),9394-8016 QUEBEC INC - Hera Beauty (WEB),9394-8081 QUEBEC INC - Hera Beauty (MTL11),9396-1852 QUEBEC INC - Hera Beauty (MTL01),9396-1886 QUEBEC INC - Hera Beauty (MTL04),9399-5090 QUEBEC INC - Hera Beauty (MTL09),9399-5116 QUEBEC INC - Hera Beauty (MTL03),9399-5140 QUEBEC INC - Hera Beauty (MTL10),9399-5157 QUEBEC INC - Hera Beauty (MTL07),9399-5165 QUEBEC INC - Hera Beauty (MTL05),9399-5181 QUEBEC INC - Hera Beauty (MTL08),9484-8983 QUEBEC INC - Hera Beauty (MTL02),9511-0995 QUEBEC INC - Hera Beauty (MTL06),9518-1145 QUEBEC INC - Hera Beauty (QC01)","","Discount 12%","False","GUMMY PROFESSIONAL","","","","","False","","","","","",""
